기관명,운영상태,소재지(도로명),소재지(지번),위도,경도,전화번호,데이터 기준일자
대학약국,운영,"대구광역시 북구 성북로 47, 1층 (침산동)",대구광역시 북구 침산동 521번지 14호 1층,35.89171576,128.5885916,053-353-0181,2024-07-26
정약국,운영,"대구광역시 북구  침산남로19길  2, 1층 (침산동)",대구광역시 북구 침산동 363번지 7호,35.8894265,128.5869152,053-353-1898,2024-07-26
침산제일약국,운영,대구광역시 북구 침산로 128 (침산동),대구광역시 북구 침산동248-5,35.887663,128.5918422,053-354-0950,2024-07-26
대일약국,운영,대구광역시 북구 고성로 152 (고성동2가),대구광역시 북구 고성2가 111-16,35.88097546,128.5823501,053-354-7080,2024-07-26
한우리약국,운영,"대구광역시 북구  침산로  144, 1층 (침산동)",대구광역시 북구 침산동 285번지 4호,35.88925904,128.5915139,053-355-0023,2024-07-26
유한약국,운영,"대구광역시 북구 침산남로19길 10, 113호 (침산동, 현대그린상가)",대구광역시 북구 침산동 363번지 6호 현대그린상가 113호,35.8901255,128.5870461,053-355-7323,2024-07-26
오케이한샘약국,운영,"대구광역시 북구 칠곡중앙대로 435, 1층 (관음동)",대구광역시 북구 관음동 1378번지 1층,35.93465052,128.5483257,053-356-8275,2024-07-26
대영약국,운영,대구광역시 북구 칠성남로 49-9 (고성동2가),대구광역시 북구 고성2가 63-1,35.87988886,128.5859022,053-357-2268,2024-07-26
백약국,운영,대구광역시 북구 팔달로 231 (노원동2가),대구광역시 북구 노원2가 257-3,35.88794853,128.5753224,053-357-6010,2024-07-26
수정약국,운영,대구광역시 북구 고성로28길 2 (고성동2가),대구광역시 북구 고성동2가 113번지 1호,35.88124494,128.5813553,053-358-0451,2024-07-26
세운약국,운영,대구광역시 북구 노원로 22 (노원동3가),대구광역시 북구 노원3가 879-1,35.89127664,128.5654822,053-358-0591,2024-07-26
건강약국,운영,"대구광역시 북구  오봉로  136, 1층 (침산동)",대구광역시 북구 침산동 1035번지 3호,35.89993919,128.5795634,053-358-1672,2024-07-26
형우당약국,운영,"대구광역시 북구 팔달로 189, 1층 (노원동2가)",대구광역시 북구 노원동2가 376번지 2호 1층,35.88860965,128.5707377,053-358-9696,2024-07-26
무림약국,운영,대구광역시 북구 원대로 76 (고성동3가),대구광역시 북구 고성동3가123-1,35.88423852,128.5819375,053-359-0070,2024-07-26
보민약국,운영,"대구광역시 북구 침산남로 50, 1층 (노원동1가)",대구광역시 북구 노원동1가 9번지 5호 1층,35.8890656,128.5815602,053-359-0580,2024-07-26
박약국,운영,"대구광역시 북구 호암로 20, 126동 110호 (칠성동2가, 성광우방타운)",대구광역시 북구 칠성동2가 127번지 성광우방타운 126동 110호,35.88266294,128.5920247,053-359-1999,2024-07-26
이레약국,운영,대구광역시 북구  복현로  88 (복현동),대구광역시 북구 복현동 183번지 3호 1층,35.89934438,128.6223066,053-381-1002,2024-07-26
하약국,운영,"대구광역시 북구 검단로 114, 1층 (검단동)",대구광역시 북구 검단동 936번지 9호 1층,35.90676742,128.6201821,053-383-7388,2024-07-26
하나온누리약국,운영,"대구광역시 북구 동북로 163, 201동 212호 (산격동, 대우아파트)",대구광역시 북구 산격동 500번지 1호 대우아파트 201동 212호,35.89891339,128.612519,053-383-8766,2024-07-26
손자경약국,운영,"대구광역시 북구 동북로 163 (산격동, 대구A201/202)",대구광역시 북구 산격2동 500-1 대우A201/202,35.89891339,128.612519,053-384-1243,2024-07-26
플러스약국,운영,"대구광역시 북구 칠성로 59, 1층 (칠성동2가)",대구광역시 북구 칠성동2가 350번지 4호 1층,35.87949662,128.5960624,053-422-4705,2024-07-26
프라자약국,운영,대구광역시 북구 칠성남로 226-2 (칠성동1가),대구광역시 북구 칠성1가 157-1,35.87593896,128.6049169,053-426-5640,2024-07-26
홍익약국,운영,대구광역시 북구 학정로 50 (태전동),대구광역시 북구 태전2동 1112번지,35.91323297,128.5480761,053-656-6689,2024-07-26
송림약국,운영,"대구광역시 북구 동북로 163, 201동 311호 (산격동, 산격대우아파트상가)",대구광역시 북구 산격동 500번지 1호 산격대우아파트상가 201동 311호,35.89891339,128.612519,053-751-2569,2024-07-26
동대구약국,운영,대구광역시 북구 대현로 91 (대현동),대구광역시 북구 대현1동 205-20,35.88280362,128.6092096,053-941-0134,2024-07-26
산격약국,운영,대구광역시 북구 연암로 98-2 (산격동),대구광역시 북구 산격1동 848,35.8932956,128.5945847,053-941-4285,2024-07-26
산격현대약국,운영,대구광역시 북구 동북로 172 (산격동),대구광역시 북구 산격3동 1260-9,35.89890066,128.6112316,053-941-5315,2024-07-26
종합약국,운영,대구광역시 북구 연암로 172 (산격동),대구광역시 북구 산격1동 749-18,35.89972682,128.596445,053-941-8637,2024-07-26
유일약국,운영,대구광역시 북구 대학로 143 (산격동),대구광역시 북구 산격3동1291-1,35.89682044,128.6136496,053-942-0061,2024-07-26
복현성모약국,운영,"대구광역시 북구 동북로 268-1, 1층 (복현동)",대구광역시 북구 복현동 459번지 10호 1층,35.89371075,128.6196305,053-942-1622,2024-07-26
건강백세약국,운영,대구광역시 북구 동북로 146 (산격동),대구광역시 북구 산격4동 1207번지 43호,35.90013487,128.6087776,053-942-5252,2024-07-26
건강백세약국,운영,대구광역시 북구 동북로 146 (산격동),대구광역시 북구 산격4동 1207번지 43호,35.90013487,128.6087776,053-942-5252,2024-07-26
유성약국,운영,대구광역시 북구 동북로 311 (복현동),대구광역시 북구 복현2동 375-13,35.89213348,128.623981,053-943-3991,2024-07-26
체리약국,운영,"대구광역시 북구 복현로 50, 112동 2층 208-1호 (복현동, 복현블루밍브라운스톤 명문세가아파트)",대구광역시 북구 복현동 241번지 1호 복현블루밍브라운스톤 명문세가아파트 112동 208-1호,35.89752969,128.6247378,053-944-0172,2024-07-26
용약국,운영,대구광역시 북구 동북로 168 (산격동),대구광역시 북구 산격3동 1260번지 6호,35.89905021,128.6108447,053-951-0105,2024-07-26
미소약국,운영,대구광역시 북구 서변로 97 (서변동),대구광역시 북구 서변동1738-10,35.92457706,128.5965503,053-951-3540,2024-07-26
늘사랑약국,운영,대구광역시 북구 공항로 10 (복현동),대구광역시 북구 복현2동200-4,35.89765484,128.6163205,053-951-4565,2024-07-26
스카이약국,운영,"대구광역시 북구 동북로 156, 스카이빌딩 1층 101호 (산격동)",대구광역시 북구 산격동 1238번지 1호 스카이빌딩 1층 101호,35.8994832,128.6096694,053-951-6673,2024-07-26
약손약국,운영,"대구광역시 북구 학정로 38, 1층 (태전동)",대구광역시 북구 태전2동 1107번지,35.91325196,128.5468752,053-951-8488,2024-07-26
세계약국,운영,대구광역시 북구 동북로 198 (산격동),대구광역시 북구 산격3동 1287-5,35.89788917,128.6138663,053-952-2280,2024-07-26
현대약국,운영,대구광역시 북구 대현로 99 (대현동),대구광역시 북구 대현1동 155-7,35.88258237,128.6099041,053-952-8513,2024-07-26
우리들약국,운영,대구광역시 북구 산격로8길 1 (산격동),대구광역시 북구 산격3동 1410번지 7호,35.89377581,128.6053848,053-953-6848,2024-07-26
대도약국,운영,"대구광역시 북구 산격로 24, 1층 (산격동)",대구광역시 북구 산격동 1413번지 15호,35.89267253,128.6054133,053-954-7303,2024-07-26
연합약국,운영,대구광역시 북구 동북로 170 (산격동),대구광역시 북구 산격3동1260-7,35.8989722,128.6110041,053-954-7857,2024-07-26
연합약국,운영,대구광역시 북구 동북로 170 (산격동),대구광역시 북구 산격3동1260-7,35.8989722,128.6110041,053-954-7857,2024-07-26
연합약국,운영,대구광역시 북구 동북로 170 (산격동),대구광역시 북구 산격3동1260-7,35.8989722,128.6110041,053-954-7857,2024-07-26
동서당약국,운영,"대구광역시 북구 경진로1길 42, 1층 (복현동)",대구광역시 북구 복현동 424번지 4호 1층,35.89493709,128.6171778,053-954-8181,2024-07-26
동대구경북약국,운영,"대구광역시 북구 대현로 96, 1층 (대현동)",대구광역시 북구 대현동 407번지 12호 1층,35.88232265,128.6095284,053-955-3383,2024-07-26
동서약국,운영,"대구광역시 북구 호국로 215, 대성골든프라자2차 1층 (서변동)",대구광역시 북구 서변동 1787번지 대성골든프라자2차,35.92085908,128.5988176,053-956-1936,2024-07-26
대현약국,운영,대구광역시 북구 대현로 94 (대현동),대구광역시 북구 대현2동 407-5,35.88233865,128.6092624,053-956-2072,2024-07-26
메디팜일선약국,운영,대구광역시 북구 동북로 288 (복현동),대구광역시 북구 복현1동 479번지 3호,35.89253864,128.6212532,053-956-8481,2024-07-26
세복옵티마약국,운영,"대구광역시 북구 대현남로 42, 1층 (대현동)",대구광역시 북구 대현동 391번지 1호 1층,35.88174388,128.6077165,053-957-5010,2024-07-26
늘행복한약국,운영,"대구광역시 북구 호국로 219 (서변동, 대성빌딩 118)",대구광역시 북구 서변동 1786번지 대성빌딩 118호,35.92137191,128.5988241,053-958-9298,2024-07-26
혜인약국,운영,"대구광역시 북구 산격로 50, 1층 (산격동)",대구광역시 북구 산격동 1408번지 19호 1층,35.89511578,128.6053998,053-959-4805,2024-07-26
이베약국,운영,대구광역시 북구 호국로 807-9(학정동),대구광역시 북구 학정동 469-3,35.956909,128.56591,053-323-9052,2024-07-26
소담약국,운영,"대구광역시 북구 학정로 440, 5층(구암동)",대구광역시 북구 학정로 구암동 469-3,35.943877,128.564266,053-324-7582,2024-07-26
건강한약국,운영,"대구광역시 북구 팔거천동로 210, 1층(동천동)",대구광역시 북구 팔거천동로 동천동 469-3,35.942891,128.558459,,2024-07-26
쉼표약국,운영,"대구광역시 북구 칠곡중앙대로 411, 2층 (태전동, 우영펠리스)","대구광역시 북구 칠곡중앙대로 층 태전동, 우영펠리스 469-3",35.932744,128.547973,053-942-9668,2024-07-26
후문약국,운영,대구광역시 북구 연암로 170 (산격동),대구광역시 북구 산격동 469-3,35.899515,128.596585,053-311-8079,2024-07-26
이백세약국,운영,대구광역시 북구 복현로 34-1 (복현동),대구광역시 북구 복현동 469-3,35.895099',128.624802,053-651-5500,2024-07-26
건중약국,운영,"대구광역시 북구 동북로 244, 1층 101호(복현동)",대구광역시 북구 복현동 469-3,35.898638,128.610859,053-656-4207,2024-07-26
메디컬진약국,운영,"대구광역시 북구 공항로 3, 1층 (복현동)",대구광역시 북구 복현동 539-122,35.8981417,128.615887,053-383-0870,2024-07-26
연경진약국,운영,"대구광역시 북구 연경지묘로 6, 1층 106호 (연경동)",대구광역시 북구 연경동 949-1,35.9425647,128.6150237,053-981-7577,2024-07-26
도남약국,운영,"대구광역시 북구 도남중앙로7길 6, 워너프라자Ⅲ 1층 107호 (국우동)",대구광역시 북구 국우동 1158-2,35.8620625,128.6031461,053-321-0303,2024-07-26
다정약국,운영,"대구광역시 북구 도남중앙로7길 20-4, 도남지구 21B-1L 1층 (국우동)",대구광역시 북구 국우동 1158 도남지구 21B-1L,35.877991,128.5795397,053-311-8432,2024-07-26
365칠곡대구제일큰약국,운영,"대구광역시 북구 칠곡중앙대로 244, 1,2층 (태전동)",대구광역시 북구 태전동 470-2,35.877991,128.579539,053-217-3650,2024-07-26
